momentum_short_window,momentum_long_window,trend_window,momentum_threshold,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret
15,40,30,0.01,-inf,full_pre_cutoff final_nav=1.3069 < floor=1.3361 (=1.00*default 1.3361),6.88,-0.1137,0.7826000000000001,6.88,-0.1137,0.7826000000000001,6.88,-0.1137,0.7826000000000001
15,40,30,0.0,-inf,full_pre_cutoff final_nav=1.2958 < floor=1.3361 (=1.00*default 1.3361),6.33,-0.1185,0.7501000000000001,6.33,-0.1185,0.7501000000000001,6.33,-0.1185,0.7501000000000001
15,30,60,0.0,-inf,full_pre_cutoff final_nav=1.3059 < floor=1.3361 (=1.00*default 1.3361),6.43,-0.1213,0.7796,6.43,-0.1213,0.7796,6.43,-0.1213,0.7796
15,30,40,0.01,-inf,full_pre_cutoff final_nav=1.3232 < floor=1.3361 (=1.00*default 1.3361),7.7,-0.10800000000000001,0.8311,7.7,-0.10800000000000001,0.8311,7.7,-0.10800000000000001,0.8311
15,30,40,0.0,-inf,full_pre_cutoff final_nav=1.3113 < floor=1.3361 (=1.00*default 1.3361),7.07,-0.11259999999999999,0.7957,7.07,-0.11259999999999999,0.7957,7.07,-0.11259999999999999,0.7957
15,30,30,0.02,-inf,full_pre_cutoff final_nav=1.3301 < floor=1.3361 (=1.00*default 1.3361),8.56,-0.09949999999999999,0.8515,8.56,-0.09949999999999999,0.8515,8.56,-0.09949999999999999,0.8515
15,30,30,0.01,-inf,full_pre_cutoff final_nav=1.3071 < floor=1.3361 (=1.00*default 1.3361),6.89,-0.1137,0.7831,6.89,-0.1137,0.7831,6.89,-0.1137,0.7831
15,30,30,0.0,-inf,full_pre_cutoff final_nav=1.2959 < floor=1.3361 (=1.00*default 1.3361),6.33,-0.1185,0.7503,6.33,-0.1185,0.7503,6.33,-0.1185,0.7503
10,60,60,0.02,-inf,full_pre_cutoff final_nav=1.2078 < floor=1.3361 (=1.00*default 1.3361),3.83,-0.1316,0.5035000000000001,3.83,-0.1316,0.5035000000000001,3.83,-0.1316,0.5035000000000001
10,60,60,0.01,-inf,full_pre_cutoff final_nav=1.2672 < floor=1.3361 (=1.00*default 1.3361),5.95,-0.11220000000000001,0.6676000000000001,5.95,-0.11220000000000001,0.6676000000000001,5.95,-0.11220000000000001,0.6676000000000001
10,60,40,0.02,-inf,full_pre_cutoff final_nav=1.1940 < floor=1.3361 (=1.00*default 1.3361),3.55,-0.1316,0.46659999999999996,3.55,-0.1316,0.46659999999999996,3.55,-0.1316,0.46659999999999996
10,60,40,0.01,-inf,full_pre_cutoff final_nav=1.2528 < floor=1.3361 (=1.00*default 1.3361),5.59,-0.1121,0.627,5.59,-0.1121,0.627,5.59,-0.1121,0.627
10,60,40,0.0,-inf,full_pre_cutoff final_nav=1.3202 < floor=1.3361 (=1.00*default 1.3361),9.54,-0.0862,0.8220999999999999,9.54,-0.0862,0.8220999999999999,9.54,-0.0862,0.8220999999999999
20,60,60,0.02,-inf,full_pre_cutoff final_nav=1.2910 < floor=1.3361 (=1.00*default 1.3361),5.13,-0.1436,0.7361,5.13,-0.1436,0.7361,5.13,-0.1436,0.7361
